country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,range,aqi_value,air_quality,date,time
India,Maharashtra,Virar,"Bolinj, Virar - MPCB",2025-07-20 18:00:00,19.445821,72.7988231,CO,5.0,60.0,16.0,55.0,286.0,Poor,2025-07-20,18:00:00
India,Maharashtra,Navi Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",2025-07-20 18:00:00,19.02579,73.10297,CO,15.0,25.0,16.0,10.0,286.0,Poor,2025-07-20,18:00:00
India,Maharashtra,Navi Mumbai,"Tondare-Taloja, Navi Mumbai - MPCB",2025-07-20 18:00:00,19.063,73.1209,PM10,20.0,56.0,45.0,36.0,45.0,Good,2025-07-20,18:00:00
India,Maharashtra,Navi Mumbai,"Tondare-Taloja, Navi Mumbai - MPCB",2025-07-20 18:00:00,19.063,73.1209,NH3,5.0,8.0,6.0,3.0,2.0,Good,2025-07-20,18:00:00
India,Maharashtra,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB",2025-07-20 18:00:00,18.63673,73.82487,CO,4.0,25.0,9.0,21.0,187.0, Moderate,2025-07-20,18:00:00
India,Maharashtra,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB",2025-07-20 18:00:00,18.63673,73.82487,OZONE,1.0,22.0,18.0,21.0,18.0,Good,2025-07-20,18:00:00
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB",2025-07-20 18:00:00,18.616318,73.765797,NH3,1.0,9.0,3.0,8.0,1.0,Good,2025-07-20,18:00:00
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB",2025-07-20 18:00:00,18.616318,73.765797,SO2,1.0,3.0,2.0,2.0,2.0,Good,2025-07-20,18:00:00
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2025-07-20 18:00:00,18.45445,73.854155,NO2,1.0,8.0,4.0,7.0,5.0,Good,2025-07-20,18:00:00
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2025-07-20 18:00:00,18.45445,73.854155,SO2,3.0,4.0,4.0,1.0,5.0,Good,2025-07-20,18:00:00
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2025-07-20 18:00:00,18.45445,73.854155,OZONE,27.0,39.0,37.0,12.0,37.0,Good,2025-07-20,18:00:00
India,Maharashtra,Pune,"Panchawati_Pashan, Pune - IITM",2025-07-20 18:00:00,18.536457,73.805454,PM2.5,27.0,46.0,35.0,19.0,58.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",2025-07-20 18:00:00,19.8389439,75.244448,NH3,10.0,12.0,11.0,2.0,3.0,Good,2025-07-20,18:00:00
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",2025-07-20 18:00:00,19.16485,73.23409,PM2.5,29.0,67.0,43.0,38.0,71.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",2025-07-20 18:00:00,19.16485,73.23409,PM10,38.0,88.0,57.0,50.0,57.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",2025-07-20 18:00:00,19.0243902,73.0406721,PM2.5,30.0,43.0,33.0,13.0,54.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",2025-07-20 18:00:00,19.309073,73.057223,PM2.5,34.0,69.0,48.0,35.0,80.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",2025-07-20 18:00:00,19.10122,74.73339,NH3,4.0,7.0,6.0,3.0,2.0,Good,2025-07-20,18:00:00
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",2025-07-20 18:00:00,19.786089,72.757971,PM2.5,20.0,38.0,27.0,18.0,45.0,Good,2025-07-20,18:00:00
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",2025-07-20 18:00:00,19.9629,79.298714,CO,22.0,30.0,27.0,8.0,359.0,Very Poor,2025-07-20,18:00:00
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",2025-07-20 18:00:00,20.918946,74.776388,PM2.5,31.0,59.0,42.0,28.0,70.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",2025-07-20 18:00:00,20.918946,74.776388,PM10,53.0,83.0,64.0,30.0,64.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB",2025-07-20 18:00:00,20.719516,77.000253,OZONE,5.0,30.0,22.0,25.0,22.0,Good,2025-07-20,18:00:00
